currenttime,choice,l,valueH,valueM
2020-03-03 23:06:40.305019,H,1,0.6000000000000001,
2020-03-03 23:06:40.305437,H,2,0.4400000000000001,
2020-03-03 23:06:40.305699,H,3,0.3760000000000001,
2020-03-03 23:06:40.305917,H,4,0.35040000000000016,
2020-03-03 23:06:40.306118,H,5,0.34016000000000013,
2020-03-03 23:06:40.306329,H,6,0.33606400000000025,
2020-03-03 23:06:40.306527,H,7,0.33442560000000016,
2020-03-03 23:06:40.306712,H,8,0.33377024000000033,
2020-03-03 23:06:41.611483,Hrow,1,0.599406528189911,227.11111111111111
2020-03-03 23:06:41.611859,Hrow,2,0.6334375,6411.888888888889
2020-03-03 23:06:41.613720,Hrow,3,0.40044881161840573,89265.11111111111
2020-03-03 23:06:41.614257,Hrow,4,0.39260925782446016,1853225.111111111
2020-03-03 23:06:41.614603,Hrow,5,0.35304961968469,35587688.44444445
2020-03-03 23:06:41.614795,Hrow,6,0.3454879734650323,714872138.6666666
2020-03-03 23:06:41.614957,Hrow,7,0.34116236796101646,14227970583.777779
2020-03-03 23:06:41.615181,Hrow,8,0.33648631026839,284723241176.6667
2020-03-03 23:06:41.615377,HrowEC,1,0.599406528189911,227.11111111111111
2020-03-03 23:06:41.615555,HrowEC,2,0.4378594249201278,4189.333333333333
2020-03-03 23:06:41.615819,HrowEC,3,0.3788335255003574,80407.11111111111
2020-03-03 23:06:41.615976,HrowEC,4,0.3508747637138773,1523535.3333333333
2020-03-03 23:06:41.616190,HrowEC,5,0.34393611189068946,28968375.777777776
2020-03-03 23:06:41.616381,HrowEC,6,0.3367472822245633,550404328.8888888
2020-03-03 23:06:41.616588,HrowEC,7,0.3382101869339669,10457750257.777779
2020-03-03 23:06:41.616788,HrowEC,8,0.33440644655666524,198699455448.8889
2020-03-03 23:06:42.920369,Hrow,1,0.5875,217.55555555555554
2020-03-03 23:06:42.922515,Hrow,2,0.6323506144190707,6406.0
2020-03-03 23:06:42.923882,Hrow,3,0.39173966506393787,88644.66666666667
2020-03-03 23:06:42.924586,Hrow,4,0.38900148866997175,1853321.111111111
2020-03-03 23:06:42.925122,Hrow,5,0.34404637989817377,35535539.11111111
2020-03-03 23:06:42.925661,Hrow,6,0.3414874270574822,714650397.1111112
2020-03-03 23:06:42.926188,Hrow,7,0.33208311325333273,14218978997.777779
2020-03-03 23:06:42.926676,Hrow,8,0.33252081998317623,284596609349.2222
2020-03-03 23:06:42.926866,HrowEC,1,0.5875,217.55555555555554
2020-03-03 23:06:42.927052,HrowEC,2,0.4360488633605696,4184.0
2020-03-03 23:06:42.927224,HrowEC,3,0.37118506459361345,80161.11111111111
2020-03-03 23:06:42.927407,HrowEC,4,0.34676507787693583,1524008.6666666667
2020-03-03 23:06:42.927577,HrowEC,5,0.3348566699312363,28954044.888888888
