currenttime,option,k,f,accuracy
2018-02-26 10:31:07.701088,opt1,2,0.01,0.8641414141414141
2018-02-26 10:31:08.037048,opt2,2,0.01,0.8641414141414141
2018-02-26 10:31:08.396000,opt3,2,0.01,0.8641414141414141
2018-02-26 10:31:08.811255,opt4,2,0.01,0.8641414141414141
2018-02-26 10:31:09.270603,opt5,2,0.01,0.8641414141414141
2018-02-26 10:31:19.649528,opt6,2,0.01,0.59575757575757571
2018-02-26 10:31:19.943317,opt1,2,0.01,0.87535353535353533
2018-02-26 10:31:20.352656,opt2,2,0.01,0.87535353535353533
2018-02-26 10:31:20.729023,opt3,2,0.01,0.87535353535353533
2018-02-26 10:31:21.139740,opt4,2,0.01,0.87535353535353533
2018-02-26 10:31:21.621737,opt5,2,0.01,0.87535353535353533
2018-02-26 10:31:31.391261,opt6,2,0.01,0.62050505050505056
2018-02-26 10:31:31.983539,opt1,2,0.01,0.87434343434343431
2018-02-26 10:31:32.704882,opt2,2,0.01,0.87434343434343431
2018-02-26 10:31:33.370233,opt3,2,0.01,0.87434343434343431
2018-02-26 10:31:33.937667,opt4,2,0.01,0.87434343434343431
2018-02-26 10:31:34.697339,opt5,2,0.01,0.87434343434343431
2018-02-26 10:31:53.047323,opt6,2,0.01,0.61171717171717177
2018-02-26 10:31:53.841366,opt1,2,0.01,0.87363636363636366
2018-02-26 10:31:54.771741,opt2,2,0.01,0.87363636363636366
2018-02-26 10:31:55.479497,opt3,2,0.01,0.87363636363636366
2018-02-26 10:31:56.121680,opt4,2,0.01,0.87363636363636366
2018-02-26 10:31:56.950277,opt5,2,0.01,0.87363636363636366
2018-02-26 10:32:09.600308,opt6,2,0.01,0.61545454545454548
2018-02-26 10:32:09.943070,opt1,2,0.01,0.88010101010101005
2018-02-26 10:32:10.322504,opt2,2,0.01,0.88010101010101005
2018-02-26 10:32:10.673822,opt3,2,0.01,0.88010101010101005
2018-02-26 10:32:11.059722,opt4,2,0.01,0.88010101010101005
2018-02-26 10:32:11.451968,opt5,2,0.01,0.88010101010101005
2018-02-26 10:32:21.163119,opt6,2,0.01,0.59575757575757571
2018-02-26 10:32:21.523736,opt1,2,0.01,0.87767676767676772
2018-02-26 10:32:21.971018,opt2,2,0.01,0.87767676767676772
2018-02-26 10:32:22.370319,opt3,2,0.01,0.87767676767676772
2018-02-26 10:32:22.753837,opt4,2,0.01,0.87767676767676772
2018-02-26 10:32:23.192605,opt5,2,0.01,0.87767676767676772
2018-02-26 10:32:35.784270,opt6,2,0.01,0.60414141414141409
2018-02-26 10:32:36.256257,opt1,2,0.01,0.87494949494949492
2018-02-26 10:32:36.740499,opt2,2,0.01,0.87494949494949492
2018-02-26 10:32:37.316939,opt3,2,0.01,0.87494949494949492
2018-02-26 10:32:38.043056,opt4,2,0.01,0.87494949494949492
2018-02-26 10:32:38.854301,opt5,2,0.01,0.87494949494949492
2018-02-26 10:32:55.514921,opt6,2,0.01,0.6166666666666667
2018-02-26 10:32:55.858123,opt1,2,0.01,0.88232323232323229
2018-02-26 10:32:56.235473,opt2,2,0.01,0.88232323232323229
2018-02-26 10:32:56.587412,opt3,2,0.01,0.88232323232323229
2018-02-26 10:32:56.969607,opt4,2,0.01,0.88232323232323229
2018-02-26 10:32:57.379895,opt5,2,0.01,0.88232323232323229
2018-02-26 10:33:13.314156,opt6,2,0.01,0.60989898989898994
2018-02-26 10:33:13.890582,opt1,2,0.01,0.87575757575757573
2018-02-26 10:33:14.537887,opt2,2,0.01,0.87575757575757573
2018-02-26 10:33:15.167539,opt3,2,0.01,0.87575757575757573
2018-02-26 10:33:15.680595,opt4,2,0.01,0.87575757575757573
2018-02-26 10:33:16.407689,opt5,2,0.01,0.87575757575757573
2018-02-26 10:33:30.128789,opt6,2,0.01,0.6139393939393939
2018-02-26 10:33:30.435408,opt1,2,0.01,0.87727272727272732
2018-02-26 10:33:30.767001,opt2,2,0.01,0.87727272727272732
2018-02-26 10:33:31.081070,opt3,2,0.01,0.87727272727272732
2018-02-26 10:33:31.433208,opt4,2,0.01,0.87727272727272732
2018-02-26 10:33:31.841146,opt5,2,0.01,0.87727272727272732
2018-02-26 10:33:42.608485,opt6,2,0.01,0.61323232323232324
2018-02-26 10:33:42.897298,opt1,2,0.01,0.8760606060606061
2018-02-26 10:33:43.233378,opt2,2,0.01,0.8760606060606061
2018-02-26 10:33:43.541315,opt3,2,0.01,0.8760606060606061
2018-02-26 10:33:43.900955,opt4,2,0.01,0.8760606060606061
2018-02-26 10:33:44.307299,opt5,2,0.01,0.8760606060606061
2018-02-26 10:33:57.166889,opt6,2,0.01,0.6108080808080808
2018-02-26 10:33:57.482057,opt1,2,0.01,0.87535353535353533
2018-02-26 10:33:57.805902,opt2,2,0.01,0.87535353535353533
2018-02-26 10:33:58.116265,opt3,2,0.01,0.87535353535353533
2018-02-26 10:33:58.468865,opt4,2,0.01,0.87535353535353533
2018-02-26 10:33:58.849681,opt5,2,0.01,0.87535353535353533
2018-02-26 10:34:14.038569,opt6,2,0.01,0.61191919191919197
2018-02-26 10:34:14.683363,opt1,2,0.01,0.87787878787878793
2018-02-26 10:34:15.354267,opt2,2,0.01,0.87787878787878793
2018-02-26 10:34:15.964285,opt3,2,0.01,0.87787878787878793
2018-02-26 10:34:16.585410,opt4,2,0.01,0.87787878787878793
