currenttime,option,lensplit,f,accuracy,timetaken
2017-07-03 00:27:28.701443,opt1,len5,0.003,0.62657973921765298,0.02086806297302246
2017-07-03 00:27:31.060612,opt2,len5,0.003,0.62627883650952854,0.1258559226989746
2017-07-03 00:27:33.073291,opt3,len5,0.003,0.62096288866599803,0.06457781791687012
2017-07-03 00:27:35.401097,opt4,len5,0.003,0.61895687061183546,0.14052200317382812
2017-07-03 00:53:29.604525,opt5,split8,0.003,0.59518555667001005,866.6029269695282
2017-07-03 00:53:31.543776,opt5,split1,0.003,0.48816449348044133,93.70284509658813
2017-07-03 00:53:33.744676,opt5,split2,0.003,0.59518555667001005,182.20227909088135
2017-07-03 00:53:35.812555,opt5,split4,0.003,0.48465396188565696,409.90638995170593
2017-07-03 00:53:37.777807,opt6,0,0.003,0.62657973921765298,0
2017-07-03 00:53:39.896210,opt1,len5,0.003,0.62928786359077227,0.035539865493774414
2017-07-03 00:53:41.835118,opt2,len5,0.003,0.6277833500501504,0.13873291015625
2017-07-03 00:53:43.773553,opt3,len5,0.003,0.61685055165496494,0.04856514930725098
2017-07-03 00:53:45.745640,opt4,len5,0.003,0.61985957873620867,0.17672014236450195
2017-07-03 01:16:46.191092,opt5,split8,0.003,0.56228686058174526,761.4263401031494
2017-07-03 01:16:48.462797,opt5,split1,0.003,0.4963891675025075,83.96745109558105
2017-07-03 01:16:50.370850,opt5,split2,0.003,0.57442326980942826,185.20590591430664
2017-07-03 01:16:52.269504,opt5,split4,0.003,0.57442326980942826,348.07047390937805
2017-07-03 01:16:54.216363,opt6,0,0.003,0.61955867602808423,0
2017-07-03 01:16:56.221381,opt1,len5,0.003,0.48495486459378134,0.018887042999267578
2017-07-03 01:16:58.298618,opt2,len5,0.003,0.48164493480441323,0.0939168930053711
2017-07-03 01:17:00.153939,opt3,len5,0.003,0.52758274824473417,0.02807307243347168
2017-07-03 01:17:02.254992,opt4,len5,0.003,0.60631895687061188,0.13741397857666016
2017-07-03 01:41:37.937490,opt5,split8,0.003,0.62066198595787359,756.7537569999695
2017-07-03 01:41:39.898737,opt5,split1,0.003,0.62066198595787359,90.1474781036377
2017-07-03 01:41:42.155745,opt5,split2,0.003,0.48335005015045135,200.7265989780426
2017-07-03 01:41:44.315147,opt5,split4,0.003,0.5360080240722167,425.8297629356384
2017-07-03 01:41:46.225170,opt6,0,0.003,0.6044132397191575,0
2017-07-03 01:41:48.017310,opt1,len5,0.003,0.545937813440321,0.016720056533813477
2017-07-03 01:41:49.918969,opt2,len5,0.003,0.54443329989969913,0.11887693405151367
2017-07-03 01:41:51.659631,opt3,len5,0.003,0.61173520561685057,0.023426055908203125
2017-07-03 01:41:54.122341,opt4,len5,0.003,0.61003009027081245,0.1385478973388672
2017-07-03 02:06:53.545688,opt5,split8,0.003,0.45336008024072216,831.5801558494568
2017-07-03 02:06:55.816888,opt5,split1,0.003,0.58054162487462391,85.64846396446228
2017-07-03 02:06:57.658221,opt5,split2,0.003,0.55195586760280846,183.9825930595398
2017-07-03 02:06:59.579095,opt5,split4,0.003,0.58054162487462391,396.4358768463135
2017-07-03 02:07:01.317046,opt6,0,0.003,0.620160481444333,0
2017-07-03 02:07:03.414657,opt1,len5,0.003,0.51083249749247739,0.03761005401611328
2017-07-03 02:07:05.551304,opt2,len5,0.003,0.52036108324974928,0.12183594703674316
2017-07-03 02:07:07.797498,opt3,len5,0.003,0.6304914744232698,0.04665207862854004
2017-07-03 02:07:09.813910,opt4,len5,0.003,0.63039117352056173,0.16791105270385742
2017-07-03 02:30:14.501362,opt5,split8,0.003,0.49689067201604814,753.2429249286652
2017-07-03 02:30:16.928781,opt5,split1,0.003,0.47793380140421265,87.91281008720398
2017-07-03 02:30:19.075229,opt5,split2,0.003,0.44684052156469406,198.69254112243652
2017-07-03 02:30:20.977639,opt5,split4,0.003,0.49689067201604814,343.02655506134033
2017-07-03 02:30:23.014287,opt6,0,0.003,0.6313941825476429,0
2017-07-03 02:30:25.190409,opt1,len5,0.003,0.54222668004012031,0.01854085922241211
2017-07-03 02:30:27.412953,opt2,len5,0.003,0.54042126379137412,0.1334061622619629
2017-07-03 02:30:29.285391,opt3,len5,0.003,0.61815446339017055,0.0479741096496582
2017-07-03 02:30:31.233927,opt4,len5,0.003,0.61755265797392178,0.16141700744628906
2017-07-03 02:54:51.396954,opt5,split8,0.003,0.59528585757271812,786.5444331169128
2017-07-03 02:54:53.435332,opt5,split1,0.003,0.59528585757271812,91.26227903366089
2017-07-03 02:54:55.513690,opt5,split2,0.003,0.55556670010030085,209.50989818572998
2017-07-03 02:54:57.621533,opt5,split4,0.003,0.59648946840521566,371.0614609718323
2017-07-03 02:54:59.587291,opt6,0,0.003,0.62096288866599803,0
2017-07-03 02:55:01.491937,opt1,len5,0.003,0.52678034102306925,0.018414020538330078
2017-07-03 02:55:03.486648,opt2,len5,0.003,0.5323971915747242,0.13411712646484375
